Cliente 127.0.0.1; Setor 1; Dispositivo 1; Estado 0
Cliente 127.0.0.1; Setor 1; Dispositivo 2; Estado 0
Cliente 127.0.0.1; Setor 0; Dispositivo 0; Estado 2
Cliente 127.0.0.1; Setor 0; Dispositivo 0; Estado 1
Cliente 127.0.0.1; Setor 0; Dispositivo 0; Estado 2
Cliente 127.0.0.1; Setor 0; Dispositivo 0; Estado 2
Cliente 127.0.0.1; Setor 1; Dispositivo 1; Estado 0
Cliente 127.0.0.1; Setor 1; Dispositivo 1; Estado 0
Cliente 127.0.0.1; Setor 0; Dispositivo 0; Estado 2
Cliente 127.0.0.1; Setor 1; Dispositivo 1; Estado 0
Cliente 127.0.0.1; Setor 0; Dispositivo 0; Estado 2
Cliente 127.0.0.1; Setor 0; Dispositivo 0; Estado 1
Cliente 127.0.0.1; Setor 1; Dispositivo 1; Estado 0
Cliente 127.0.0.1; Setor 1; Dispositivo 2; Estado 0
Cliente 127.0.0.1; Setor 1; Dispositivo 3; Estado 0
Cliente 127.0.0.1; Setor 2; Dispositivo 1; Estado 0
Cliente 127.0.0.1; Setor 2; Dispositivo 2; Estado 0
Cliente 127.0.0.1; Setor 2; Dispositivo 3; Estado 0
Cliente 127.0.0.1; Setor 3; Dispositivo 1; Estado 0
Cliente 127.0.0.1; Setor 3; Dispositivo 2; Estado 0
Cliente 127.0.0.1; Setor 3; Dispositivo 3; Estado 0
Cliente 127.0.0.1; Setor 3; Dispositivo 6; Estado 0
Cliente 127.0.0.1; Setor 4; Dispositivo 1; Estado 1
Cliente 127.0.0.1; Setor 4; Dispositivo 2; Estado 1
Cliente 127.0.0.1; Setor 4; Dispositivo 2; Estado 0
Cliente 127.0.0.1; Setor 5; Dispositivo 1; Estado 1
Cliente 127.0.0.1; Setor 5; Dispositivo 5; Estado 0
Cliente 127.0.0.1; Setor 5; Dispositivo 5; Estado 1
Cliente 127.0.0.1; Setor 1; Dispositivo 1; Estado 0
Thu May 19 16:42:32 2016
 - Cliente 127.0.0.1; Setor 1; Dispositivo 1; Estado 0
Thu May 19 16:42:36 2016
 - Cliente 127.0.0.1; Setor 1; Dispositivo 2; Estado 0
Thu May 19 16:42:46 2016
 - Cliente 127.0.0.1; Setor 1; Dispositivo 3; Estado 0
Thu May 19 16:42:51 2016
 - Cliente 127.0.0.1; Setor 5; Dispositivo 5; Estado 1
Thu May 19 16:43:01 2016
 - Cliente 127.0.0.1; Setor 6; Dispositivo 1; Estado 1
Thu May 19 16:43:08 2016
 - Cliente 127.0.0.1; Setor 6; Dispositivo 1; Estado 0
 - Cliente 127.0.0.1; Setor 1; Dispositivo 1; Estado 0
 - Cliente 127.0.0.1; Setor 2; Dispositivo 2; Estado 0
 - Cliente 127.0.0.1; Setor 3; Dispositivo 3; Estado 0
 - Cliente 127.0.0.1; Setor 6; Dispositivo 1; Estado 1
 - Cliente 127.0.0.1; Setor 1; Dispositivo 1; Estado 0
 - Cliente 127.0.0.1; Setor 6; Dispositivo 1; Estado 0
 - Cliente 127.0.0.1; Setor 6; Dispositivo 1; Estado 1
 - Cliente 127.0.0.1; Setor 6; Dispositivo 1; Estado 0
16:58:33 de 19/5/2016 - Cliente 127.0.0.1; Setor 1; Dispositivo 1; Estado 0
16:58:38 de 19/5/2016 - Cliente 127.0.0.1; Setor 6; Dispositivo 1; Estado 0
16:58:40 de 19/5/2016 - Cliente 127.0.0.1; Setor 1; Dispositivo 1; Estado 0
16:58:45 de 19/5/2016 - Cliente 127.0.0.1; Setor 5; Dispositivo 1; Estado 0
